continent,country,notes
EUROPE,Norway,"Trade Statistics. Norway (2010) and Mitchell (2003) publish series of Norwegian general trade since 1851, but Mitchell warns that until 1865 the data “are calculated on the basis of fixed estimated prices”.  As an alternative, one could use the series from the recent estimate of national accounts by Grytten (2003 tab. 5 and 6). However, they include at transit and trade in services, which was quite substantial.[95]  Therefore we use the series by Grytten to extrapolate backwards the series at current prices from 1866 to 1830, reducing the figures by 5% in order to take transit into account. We deflate the data with the series by Klovland (2013 tab A3) until 1920, extrapolated to 1938 with the series of unit values from Historical Statistics Norway.[96]  Finally, we convert the Norwegian Krona in dollars with the exchange rates from Klovland (2004 tab A.1)."
EUROPE,Poland,"Poland. Statistical Yearbooks (1924, 1927, 1929, 1930) and the Trade statistics Poland (1933, 1935 and 1938) publish series of trade in zloty from 1922 to 1938, which are then reproduced by Mitchell (2007).  The zloty was introduced only in 1924 and was stabilized only three years later (Feinstein-Temin and Toniolo 1997).  As for Baltic countries, we hypothesize that figures for 1920-1922 were converted in zloty at its 1924 parity and we convert the figures into dollar in 1924-1929 with exchange rates from Statistical yearbook Germany (1924-25, 1926, 1930)  and for 1930-1938 from League of Nations, Review  (ad annum) for 1930-1938. Finally, we deflate the series with Federico-Tena price indexes for imports and exports. We estimate trade of “Poland” after the war at 1913 borders according to the procedure outlined in Appendix B. First, we subtract trade between former German, Russian and Austrian territories in post-war Poland and Germany, Russia or successor states of the Austro-Hungarian Empire, which would have been domestic trade at 1913 boundaries. We lack any data on foreign trade by (post-war) Polish regions and thus we assume that foreign trade distributed among them according to their population. German, Russian and Austrian territories accounted for respectively 14.5%, 57.1% and 28.4% of Polish population according to the 1921 Census (Statistical Yearbook Poland 1924 tab III) and for  13.5%, 59.2% and 27.3% according to the 1931 one (Statistics Poland 1937 tab 5).  We round these figures, increasing slightly the share of the more advanced areas in the West (the coefficients α in Appendix). Thus, we reduce the trade of post-war Poland with Germany by 15%, the trade between Poland and URSS by 55% and the trade between Poland and the successor states of the Dual Monarchy (i.e. Austria, Hungary and Czechoslovakia) by 30%.  On the other hand, we add the trade between regions of Poland which in 1913 belonged to different polities.  We assume this trade to have been 5% of the trade between Germany and former Austrian and Russian Poland (i.e. of 85% of the trade between Germany and Poland – the rest being trade between Germany and former German Poland) and 10% of the trade between successor states and former German and Russian Poland. We estimate the trade between URSS and former Austrian and German Poland with different shares for imports (10%) and exports (5%).[97]"
EUROPE,Portugal,"Series of trade at current prices, from official trade statistics, are available from three sources, Valerio (2001 tab. 10.1), from 1776 onwards, from Lains (2006) from 1842 to 1938 and Batista  et al (1997)  from 1910 to 1938 [98]. These figures are net of transit and movements of bullion. We interpolate the missing years (1842-1851, 1852-1854, 1856-1861 and 1861-1865) with an improved TRAMO routine. [99] We convert the figures in escudos with the exchange rates from Denzel 2010 tab 1.1.3 (cross rate with sterling) until 1890 and Valerio (2001 tab. 10.6) thereafter.   We compute series of imports and export prices for 1865-1913 from Lains (2006) and we extend them first to 1842 interpolated the scattered years from Lains (2007), interpolated with a TRAMO routine and then to 1800 with Federico-Tena price indexes."
EUROPE,Romania,"Romania was created in 1859, joining the Principalty of Moldovia and Wallachia, which since the beginning of the 19th century had been ruled by local princes under the formal Ottoman suzerainty. Axenciuc (2000 tab. 129)  reports a series of Romanian trade at current prices, in millions leu since the beginning.[100] The leu was created in 1867, and, as in other cases, we assume that earlier data in piasters have been converted into the new currency at its official (gold) parity.  We assume that the leu remained at its gold parity from 1867 to 1879, while from 1880 to 1891 we add the agio from Stoenescu et al (2011).  We convert the leu in dollars with the exchange rate pound/leu from Axenciuc (2000 vol III tab.5) for 1892-1913, the series from the Statistical Yearbook Germany (1926 and 1930) for 1920-1929 and of the the the League ogf Nations (1933-38 (ad annum) from 1930 onwards. [101]   We deflate the series with Federico-Tena price indexes.[102]"
EUROPE,Russia/USSR,"We piece together a series of Russian, and later Soviet, trade in gold roubles, from 1800 to 1938 with data kindly provided by prof. Boris Mironov (St Petersburg) for the period to 1917 and from Dohan (1969 tab XIV.3) for the Soviet period. [103]  We fill the gap from 1918 to 1922 by reflating with Federico-Tena price indexes the series at 1913 prices in gold roubles by Dohan (1919 tab. III.19). We deflate the series at current prices with Federico-Tena indexes, for exports only from 1800 to 1850 and for both imports and exports from 1850 to 1913.  For the period 1913-1922 we use the quoted series by Dohan at 1913 prices, which we extrapolate to 1938 with a geometric average of his indexes of volume with weights, 1913, 1932 and 1937 (tabs XIV.4 and XIV.5).  The resulting series are highly correlated with the official indexes of quantity published by the the League ogf Nations (1933-38) - 0.97 for imports (1924-1929) and 0.98 for exports (1924-1938) -. We estimate series at 1913 borders after 1918 with data from Trade Statistics USSR and Yanson 1934. [104]  We subtract the trade with Baltic States and 55% of the trade with Poland (our estimate of the share of Granduchy of Warsaw, the former Russian territories, on total trade of post-war Poland) and we add the trade within Poland which would have been international trade at 1913 borders. This latter is obtained as 45% of the trade with Poland (i.e. the share of former German and Austrian territories) times the share of former Russian Poland on total trade of the Russian empire in 1913 (i.e. the coefficient γ of Appendix B). According to an official Soviet estimate (Dohan 1969 tab. III.24) the territories lost after the war accounted for 14.2% for exports and 26.7% for imports of Russia in its 1913 borders.  We assume that the Granduchy of Warsaw  accounted for about a third of this trade, according to its share on the population of lost territories, 11.9 million out of 32 (Markevitch-Harrison 2011 Appendix tab A7).  We use the coefficients for 1922 to estimate also 1920-1921."
EUROPE,Serbia /Yugoslavia,"We get the series at current prices from two different sources, Sundhaussen (1989) for the period  1835-1912 and the League of Nations (1925), and League ogf Nations (1933-38) for 1920 onwards.[105]  When overlapping, the two series are equal.  The resulting series has some gaps (1876-1878 and 1913 for both series and 1830-1834 and 1839-1842 for exports only), which we interpolate with a TRAMO routine.  All these data are expressed in dinars, although this currency was first issued only in 1875.  It was pegged to the French franc, but Sundhaussen (1989 tab. 93) reports a series of the premium of gold for 1887-1894, while the exchange rates from the GlobalFinancialData remain higher than the parity until 1901. Without any information, we assume that the dinar remained at the gold parity until 1887, and then we add the agio. From 1894 to 1919 we convert the dinar in dollars with the series from GlobalFinancialData, while for the post-war years we rely on Statistical Yearbook. Germany (1924-1925, 1926 and 1930) and League of Nations, Review (ad annum), although in this case differences with the series of Globalfinancialdata are really small. Then we extrapolate backward the price indexes estimate by the Yugoslavian National Bank since 1926 (the League ogf Nations (1933-38)) with Federico-Tena indexes to 1850 for imports and to 1830 for exports. [106]"
EUROPE,Spain,"We get series of Spanish trade at current and constant prices since 1821 from Tena (2007).  The series at constant prices stops in 1935 and thus for 1936-1938, civil war years, we deflate the series to 1938 at current prices with a weighted average of price index for main trading partners (Belgium, France, Germany, Italy, United Kingdom and United States), with shares around 90% of total trade. We convert the series in dollars with the exchange rate from Carreras-Tafunell 2005 tab 9.19 (before 1900 with a cross-rate with British pound)."
EUROPE,Sweden,"The Historical Statistics Sweden (1972 tab 4.2) reports series of Swedish trade at current prices and net of bullion since 1871.  Mitchell (200?) publishes the same data, but his series starts in 1832. We extrapolate the series backwards to 1800 with an index of total trade (including services) from the estimate of of Swedish national accounts by Krantz and Schon (2012 tab III). All these data are in Krona, even if this currency was created only in 1872 when Sweden adopted the gold standard. We convert the data in dollars before 1873 with dollar/Krona ratio at its gold parity.[107]  We piece together a series of Krona/dollar exchange rates with data from Denzel (2010 tab.10.1) for 1874-1913 (cross rate with pound until 1908), GlobalFinancialData for 1914-1919, German Statistical Yearbook (1924-1925, 1926, 1930) for 1920-1929 and the League ogf Nations (1933-38) for 1930-1938. Finally, we deflate the series at current prices with implicit indexes of import and export prices computed from Krantz and Schon (2012)."
EUROPE,Switzerland,"The continuous Swiss series at current prices start in 1886, although there are scattered data for  1840, 1845 (exports only), 1851, 1854, 1861, 1875, 1879 and 1885 (Historical Statistics Switzerland, on-line, tab L03 and L54).[108]  However, Bernegger (Historical Statistics. Switzerland, on-line, tab L01 and L02) has estimated a volume index of imports and exports from 1851 to 1913.  We use his work to estimate a series at constant (1913) prices by extrapolating backwards the level of trade in 1913 and also to produce a series of trade at current prices for the missing years in the period 1851-1885. To this aim we compute the series of implicit prices for all available years, we interpolate them with a TRAMO routine and we use the results to reflate the series at constant prices. After 1913, we deflate the series at current prices with new indexes for imports and exports, obtained  by linking indexes by Federico-Tena for 1913-1922, the League ogf Nations (1933-38) 1923-1937 and Bairoch (1978 p.48) for  1938. [109]  This work yields a series of trade 1851-1938, which we extrapolate to 1850 for imports and to 1830 for exports. For imports, we simply assume that trade in 1850 was 95% of trade in the next year.  In contrast, we extrapolate the series of exports back from 1851 to 1830 at current prices, with an index based  on statistics of France (Trade Statistics France, ad annum)  and from 1830 to 1851 and Belgium (Trade statistics Belgium, ad annum) from 1841 to 1830 and we deflate the resulting series with Federico-Tena price indexes. Last but not least, we convert the series from Swiss Francs to dollars. We piece together a series of exchange rates with data from Denzel (2010 tab 8.1) for 1852-1913, using until 1897 the cross rate with pound, and  the Historical Statistics. Switzerland (tab O22a) from 1914 to 1938. Before 1850, each canton had its own (silver) currency, but the underlying data for exports are mostly from French trade statistics and thus we extrapolate the 1851 exchange rate with the rate for French Franc to dollar."
EUROPE,United Kingdom,"We get the basic series at current prices from 1800 to 1913 from Imlah (1958 tab. 8), and from 1914 onwards from Mitchell (1988 p.453).  Both sources report separately exports and re-exports, which we subtract from imports as well. After 1854 we add the net exports of ships and we interpolate linearly the missing value for 1813.[110]  We convert the data in dollars with the exchange rate from Historical Statistics. United States of America (2006) series Ee618 (keeping the gold parity from 1861 to 1878).  We piece together an index of British import and export prices by joining the series by Imlah (1958 tab 8) for 1800-1913, Federico-Tena for 1914-1919 and the Board of trade since 1920 (Mitchell 1988 p.527). We obtain the trade at 1913 borders by subtracting the trade with the Republic of Ireland from the United Kindgom. Statistical Yearbook (1924-1938).[111]"
OCEANIA,Australia,"Officially the Commonwealth of Australia is a country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands.  A British settlement was established in Van Diemen's Land, now known as Tasmania, in 1803 and it became a separate colony in 1825. The United Kingdom formally claimed the western part of Western Australia (the Swan River Colony) in 1828. Separate colonies were carved from parts of New South Wales: South Australia in 1836, Victoria in 1851, and Queensland in 1859.  Between 1855 and 1890, the six colonies individually gained responsible government, managing most of their own affairs while remaining part of the British Empire. On 1 January 1901, federation of the colonies was achieved after a decade of planning, consultation and voting. The Commonwealth of Australia was established and it became a dominion of the British Empire in 1907. We use the series from Mitchell (2007) from 1826 to 1860 and from Australia.Historical Statistics from 1861 to 1938.[112]  We deflate with Federico-Tena price indexes imports from 1826 to 1870 and exports from 1826 to 1859, and exports from 1826 to 1859, and with indexes from Australia.Historical Statistics thereafter."
OCEANIA,British Settlements Oceania,"The British Western Pacific Territories was the name of a British colonial entity, created in 1877, of a series of relatively minor Pacific islands in and around Oceania. We follow as much as possible that territory division. Using United Kingdom (colonies) Statistical Yearboooks (ad annum) and later British Empire.  Composed by: Fiji (1877 to 1952) - now independent; Gilbert and Ellice Islands (1916 to 1971) - now independent as Kiribati and Tuvalu; Cook Islands (1893 to 1901) - now a self-governing state in free association with New Zealand; Nauru (1914 to 1921) - now independent; New Hebrides (1906 to 1971) - now independent as Vanuatu;  Pitcairn Islands (1898 to 1952) - still a British overseas territory;   Solomon Islands (1893 to 1971) - now independent; Tonga (1900 to 1952) - now independent; Tuvalu (1892 to 1916) - now independent; Savage Island (1900 to 1901) - now Niue, a self-governing state in free association with New Zealand; Union Islands (1877 to 1926) - now Tokelau, a dependent territory of New Zealand. The United Kingdom (colonies) Statistical Yearboooks (ad annum) provide data for Fiji for 1875-1914 and 1922 -1938, Gilbert and Ellice Islands for 1900-1914 and 1922-1938; British New Guinea for 1890-1904 and 1922-1938; Solomon Islands for 1922-1938 and Tonga for 1922-1938. We use the series for the Fiji to fill gaps in data for other islands, while we interpolate all series from 1915 to 1921 with the series for French Settlements and we extrapolate them to 1850 with the series for the Hawaii. We deflate with Federico-Tena price indexes."
OCEANIA,French Settlements in Oceania (French Polynesia),"Having declared a protectorate over Tahuata in 1842, the French regarded the entire Marquesas Islands as French. In the 1880s, France claimed the Tuamotu Archipelago, which formerly belonged to the Pōmare Dynasty, without formally annexing it. The first official name for the colony was Établissements de l'Océanie (Settlements in Oceania); in 1903 the general council was changed to an advisory council and the colony's name was changed to Établissements Français de l'Océanie (French Settlements in Oceania). We have added to the French Polynesia the other relevant French territory in Oceania that is New Caledonia (Nouvelle Caledonie). We get series for all islands since 1884 from the Statistical Yearbook. France (1938, p.220*) and we extrapolate the data to 1850 following the Hawaii series. We deflate with Federico-Tena price indexes."
OCEANIA,German Colonies in Oceania,"We have included here German New Guinea, Nauru and territory of Western Samoa. The first one was the biggest (German: Deutsch-Neuguinea) and was part of the German colonial empire. It was a protectorate from 1884 until 1914, later (in 1920) became Mandate Territory of New Guinea, under Australian administration. Nauru is an island country in Micronesia in the South Pacific. Nauru was annexed by Germany in 1888 and incorporated into Germany's Marshall Island Protectorate. The Germans ruled Nauru for almost three decades. In 1923, the League of Nations gave Australia a trustee mandate over Nauru, with the United Kingdom and New Zealand as co-trustees. The western part of the Samoan, by far the greater landmass, became known as German Samoa (Islands in the South Pacific Ocean). From the end of World War I until 1962, New Zealand controlled Samoa under trusteeship through the League of Nations. The Germany.Statistical Yearbook (1913) provides data for the years 1901-1912 and the United Kingdom (colonies) Statistical Yearboooks (ad annum) for the years 1924-1938. We have extrapolated the series backwards to 1850 and from 1913 to 1923 with data for the French Settlements in Oceania. We deflate with Federico-Tema price indexes."
OCEANIA,Hawaii:,"The Kingdom of Hawaii was sovereign from 1810 until 1893 when the monarchy was overthrown by resident American (and some European) businessmen. It was an independent republic from 1894 until 1898, when it was annexed by the United States as a territory, becoming a state in 1959. We obtain series of trade at current prices in US dollars for 1834-1901 from Schmitt (1977) and we extrapolate backwards to 1826 with the Australian series. The series stops in 1900 because since 1901 trade of the islands was included in the United States statistics. We deflate with Federico-Tena price indexes."
OCEANIA,New Zealand:,"New Zealand, originally part of the colony of New South Wales, became a separate Colony of New Zealand on 1 July 1841. The colony gained a representative government in 1852 and the 1st New Zealand Parliament met in 1854.   In 1907, at the request of the New Zealand Parliament, King Edward VII proclaimed New Zealand a dominion within the British Empire. We get series of trade at current prices in british sterling pounds from 1842 onwards from Bloomfield (1984  tab VII.2) and we extrapolate exports to 1826 following the Australian series. We deflate exports with Federico-Tena price indexes before 1850, with the Australian index for 1851-1853 and from 1853 to 1938 with an index from Bloomfield (1984) table IX. 13 and IX.14. We deflate imports with Australian import price index from 1850-55 and the Federico-Tena import price index for New Zealand from 1856 to 1925 and Bloomfield (1984) table IX.14 1926-1938."
OCEANIA,FOOTNOTES,"[1] The source states that statistics since 1892, although less precise than the French one, are rather good, with a clear distinction of special from general trade (p.5)."
